accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PXD011830,5,6,"Proteomic analysis of multiple pig tissues reveals hundreds of Toxoplasma gondii responsive proteins that could participate in Toxoplasma gondii control in vivo, part 2",PARTIAL,2018-11-26,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD011830
PXD011831,5,6,"Proteomic analysis of multiple pig tissues reveals hundreds of Toxoplasma gondii responsive proteins that could participate in Toxoplasma gondii control in vivo, part 5",PARTIAL,2018-11-26,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD011831
PXD011841,5,15,Identification of P4-ATPase Phospholipid Flippases in Red Blood Cells and Functional Analysis of Disease-associated Mutants,PARTIAL,2018-11-27,2019-03-08,https://www.ebi.ac.uk/pride/archive/projects/PXD011841
PXD011859,5,6,Mitochondrial mutant Caenorhabditis elegans phosphoproteome,PARTIAL,2018-11-28,2019-02-13,https://www.ebi.ac.uk/pride/archive/projects/PXD011859
PXD011884,5,7,Synechococcus IBT LC-MS/MS -  Proteomic Response to Rising Temperature in the Marine Cyanobacterium Synechococcus Grown in Different Nitrogen Sources,PARTIAL,2018-11-29,2019-08-19,https://www.ebi.ac.uk/pride/archive/projects/PXD011884
PXD011966,5,13,"Akt binding proteins - We try to identify Akt interaction proteins and Akt modifications. For mass spectrometry analysis, immunoprecipitation (IP) was performed with the whole cell lysates in different treated cells.",PARTIAL,2018-12-06,2018-12-11,https://www.ebi.ac.uk/pride/archive/projects/PXD011966
PXD012003,5,10,An insight into the proteome of uveal melanoma-derived ectosomes reveals the presence of potentially useful biomarkers,PARTIAL,2018-12-10,2019-08-08,https://www.ebi.ac.uk/pride/archive/projects/PXD012003
PXD012175,5,29,Secretome analysis of Cx43 expressing cells,PARTIAL,2018-12-24,2019-04-17,https://www.ebi.ac.uk/pride/archive/projects/PXD012175
PXD012337,5,12,"In-vitro and in-vivo effects of an environmental PPARγ metabolic disruptor, triphenyl phosphate, on adipogenic differentiation and metabolic functions",PARTIAL,2019-01-14,2021-09-08,https://www.ebi.ac.uk/pride/archive/projects/PXD012337
PXD012344,5,6,Maize Root system iTRAQ result under drought stress,PARTIAL,2019-01-15,2019-11-13,https://www.ebi.ac.uk/pride/archive/projects/PXD012344
PXD012398,5,6,label-free analysis of male-sterile line 1355A of cotton,PARTIAL,2019-01-17,2019-03-19,https://www.ebi.ac.uk/pride/archive/projects/PXD012398
PXD012463,5,25,Human p53 interating protein ID,COMPLETE,2019-01-22,2019-01-29,https://www.ebi.ac.uk/pride/archive/projects/PXD012463
PXD012479,5,28,microbiome of methane hydrate sediments: Hydrate Ridge,PARTIAL,2019-01-23,2020-01-22,https://www.ebi.ac.uk/pride/archive/projects/PXD012479
PXD012827,5,25,Protein identification from a gel band using our MSB-01 service,COMPLETE,2019-02-22,2019-06-19,https://www.ebi.ac.uk/pride/archive/projects/PXD012827
PXD012903,5,7,Analysis of protein regulation in cucumber leaves after Corynespora cassiicola inoculation: a proteomic approach,PARTIAL,2019-02-28,2019-09-26,https://www.ebi.ac.uk/pride/archive/projects/PXD012903
PXD013060,5,10,Cellular Senescence in Progenitor Cells Contributes to Diminished Remyelination Potential in Progressive Multiple Sclerosis,PARTIAL,2019-03-12,2019-11-12,https://www.ebi.ac.uk/pride/archive/projects/PXD013060
PXD013162,5,10,Proteomics identification and validation of desmocollin-1 and catechol-O-methyltransferase as proteins associated with breast cancer cell migration and metastasis,PARTIAL,2019-09-25,2019-10-23,https://www.ebi.ac.uk/pride/archive/projects/PXD013162
PXD013609,5,22,Oxidative stress in myelodysplastic syndromes,PARTIAL,2019-04-23,2019-10-30,https://www.ebi.ac.uk/pride/archive/projects/PXD013609
PXD013676,5,6,An Atlas of Human Glycosylation Pathways Enables Display of the Human Glycome by Gene Engineered Cells,PARTIAL,2019-04-30,2019-06-24,https://www.ebi.ac.uk/pride/archive/projects/PXD013676
PXD013728,5,11,Honey bee heat-shock proteomics,PARTIAL,2019-05-07,2019-07-19,https://www.ebi.ac.uk/pride/archive/projects/PXD013728
PXD014164,5,10,Composition and processing activity of a semi-recombinant holo U7 snRNP,PARTIAL,2019-06-06,2019-11-25,https://www.ebi.ac.uk/pride/archive/projects/PXD014164
PXD014409,5,6,Maize Root system iTRAQ result under salt treatment,PARTIAL,2019-06-27,2019-11-12,https://www.ebi.ac.uk/pride/archive/projects/PXD014409
PXD014517,5,6,Role of Y1212 VEGFR2 signaling transduction,PARTIAL,2019-07-08,2019-08-13,https://www.ebi.ac.uk/pride/archive/projects/PXD014517
PXD014558,5,17,Palaeoproteomic analysis of ancient eggshell proteins from Çatalhöyük archaeological site,PARTIAL,2019-07-10,2020-06-10,https://www.ebi.ac.uk/pride/archive/projects/PXD014558
PXD014579,5,10,Cell-derived extracellular vesicles can be used as a biomarker reservoir for glioblastoma tumor subtyping,PARTIAL,2019-07-11,2019-08-08,https://www.ebi.ac.uk/pride/archive/projects/PXD014579
PXD014631,5,11,KLF4 binding is involved in the organization and regulation of 3D enhancer networks during acquisition and maintenance of pluripotency.,PARTIAL,2019-07-16,2019-09-03,https://www.ebi.ac.uk/pride/archive/projects/PXD014631
PXD014645,5,10,ALDH7A1 inhibits the intracellular transport pathways during hypoxia and starvation to promote cellular energy homeostasis,PARTIAL,2019-07-17,2019-09-12,https://www.ebi.ac.uk/pride/archive/projects/PXD014645
PXD014738,5,11,BS3 crosslinking of GRC3 and Las1,PARTIAL,2019-07-24,2019-09-11,https://www.ebi.ac.uk/pride/archive/projects/PXD014738
PXD014787,5,6,Gene regulatory networks of kiwifruit response to Pseudomonas syringae pv. actinidiae,PARTIAL,2019-07-29,2021-11-10,https://www.ebi.ac.uk/pride/archive/projects/PXD014787
PXD015199,5,16,"Identification of full length, splicing and cleavage products of SufB protein of SUF-complex of Mycobacterium tuberculosis",PARTIAL,2019-08-28,2022-02-15,https://www.ebi.ac.uk/pride/archive/projects/PXD015199
PXD015358,5,11,Human Cerebrospinal fluid LC-MSMS,PARTIAL,2019-09-09,2019-10-30,https://www.ebi.ac.uk/pride/archive/projects/PXD015358
PXD015475,5,6,The dynamic proteome of influenza A virus infection identifies M segment splicing as a host range determinant,PARTIAL,2019-09-17,2019-11-11,https://www.ebi.ac.uk/pride/archive/projects/PXD015475
